ID;Dataset;New Architecture?;Base Edges;Layout;Connectivity;Run1;Run2;Run3;Run4;Run5;Run6;Run7;Run8;Run9;Run10;Mean;Std;Incoherence 1;Incoherence 2;Incoherence 3;Incoherence 4;Incoherence 5;Incoherence 6;Incoherence 7;Incoherence 8;Incoherence 9;Incoherence 10;Mean Incoherence;Std Incoherence;Loss 1;Loss 2;Loss 3;Loss 4;Loss 5;Loss 6;Loss 7;Loss 8;Loss 9;Loss 10;Mean Loss;Std Loss
19;2;0;;[20,20,20,20,20,20,20,20,20];[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]];0.9531;0.9523;0.955;0.9526;0.9535;0.9536;0.9514;0.9525;0.952;0.9545;0.95305;0.001120763628564;0;0;0;0;0;0;0;0;0;0;0;0;789.342490466167;803.781394292091;748.537191430486;798.719152048936;801.293367521839;776.757170683108;817.380233975722;788.172583683306;811.921712833748;769.880038346702;790.578533528211;20.8792931331714
20;2;1;;[20,20,20,20,20,20,20,20,20];[[1], [1, 2, 4, 8], [1, 2, 4, 8], [1, 2, 4], [1, 2, 4], [1, 2, 4], [1, 2, 4], [1, 2], [1, 2], [1]];0.9511;0.9537;0.9559;0.9545;0.954;0.9542;0.9514;0.9553;0.9546;0.9542;0.95389;0.00153220973325;1.18439983354802;1.13536739195557;1.08939031430642;1.18837309949031;1.16541103619389;1.12327064880572;1.13868069632451;1.18366016885853;1.11654225044463;1.105772019497;1.14308674594246;0.035518675578792;818.371311945937;810.684190278188;756.153139694141;783.488926542141;807.07320462038;772.814849040768;859.063369939452;781.916250160951;808.195751991006;768.676624669166;796.643761888213;30.1608040587557
21;2;0;4000;[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20];[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]];0.9468;0.9489;0.9475;0.9467;0.9552;0.9489;0.9502;0.9523;0.9546;0.9451;0.94962;0.003430192738349;0;0;0;0;0;0;0;0;0;0;0;0;925.833380135717;894.317239259786;875.099623434821;941.314803830182;815.81484905242;867.556909046168;868.240564015665;823.956385031331;799.79037202069;944.723396809633;875.664752263641;51.7232968655507
22;2;1;4000;[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20];[[1], [1, 4, 16], [1, 4, 16], [1, 4, 16], [1, 4, 16], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1], [1], [1]];0.9498;0.9482;0.9508;0.9461;0.9489;0.9491;0.9465;0.9526;0.9533;0.9465;0.94918;0.002507233978356;1.29197149044137;1.21154788835141;1.14614718743922;1.20395147350696;1.23882665778439;1.19130213669056;1.18375921781911;1.29956285675878;1.2631703250007;1.16372858349961;1.21939678172921;0.052505333249501;877.334392452218;906.12932555264;861.625518254905;941.506463338788;929.650423949246;861.653524845668;945.186761378962;830.2506669405;829.968691361355;931.033771567846;891.433953964213;44.8909866344501
23;2;1;4000;[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20];[[1,10], [1, 4, 16], [1, 4, 16], [1, 4, 16], [1, 4, 16], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1], [1], [1]];0.9473;0.9543;0.9509;0.9492;0.9551;0.9479;0.9494;0.9514;0.9533;0.9488;0.95076;0.00271874153894;1.24055628410831;1.20744440355787;1.26248273235546;1.15686973949096;1.1482369386643;1.22050525548713;1.24361693419887;1.22838570473369;1.22227969219679;1.25374683157662;1.218412451637;0.03839492237671;917.674013346025;823.959405105103;857.653965911925;880.557088828989;820.796817195186;894.725238711109;860.110660039363;850.912130375317;840.932867170387;912.902298920857;866.022448560426;34.4450566639356
24;3;0;10000;[50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50];[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]];0.746117021276596;0.738723404255319;0.743563829787234;0.747393617021277;0.738244680851064;0.742553191489362;0.737127659574468;0.748244680851064;0.746276595744681;0.738617021276596;0.742686170212766;0.004234675843916;0;0;0;0;0;0;0;0;0;0;0;0;7048.76752472089;7124.73792470893;7080.28061908154;6966.84334291082;7262.16011719237;7171.75823006455;7222.3853213126;6959.67796265349;7071.0783922522;7235.29035746523;7114.29797923626;107.78862395973
25;3;1;10000;[50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50];[[1,10], [1], [1, 4, 16], [1], [1, 4, 16], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1], [1]];0.759734042553191;0.779946808510638;0.773457446808511;0.768829787234043;0.77436170212766;0.776436170212766;0.775585106382979;0.760425531914894;0.774627659574468;0.780691489361702;0.772409574468085;0.007292518920209;1.40951679253686;1.46464214756919;1.3671019187823;1.41610449240959;1.43105823374483;1.42230541522716;1.45186996555382;1.42175680031699;1.35551500602986;1.41647726847361;1.41563480406442;0.033404517671952;6764.62659733135;6528.78490355112;6453.49753055908;6646.03032980468;6508.01487130765;6514.07293014657;6557.88362595574;6817.85526396607;6491.29466215546;6494.29611568531;6577.6356830463;124.1966346238
26;3;1;10000;[50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50];[[1], [1], [1, 4, 16], [1], [1, 4, 16], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1, 4], [1], [1], [1]];0.770265957446808;0.779627659574468;0.768936170212766;0.756329787234043;0.773244680851064;0.764840425531915;0.766702127659574;0.767712765957447;0.765851063829787;0.763989361702128;0.76775;0.006116843969062;1.59803549875934;1.56222040164679;1.59538754239214;1.6572358210559;1.5602261969142;1.62280163883504;1.64890734592953;1.62967688767673;1.62070677624689;1.62168734756795;1.61168854570245;0.032720666605867;6753.20312803873;6342.7743113786;6667.27471934696;6938.89035074829;6532.87191033094;6664.55160006846;6775.74493343971;6674.47494606161;6619.97038766608;6626.53765706668;6659.62939441461;156.226728606335
27;4;0;2000;[10];[[1],[1]];0.8228;0.8261;0.8385;0.8273;0.8319;0.8245;0.8299;0.8243;0.8234;0.8317;0.82804;0.004955176866447633;0;0;0;0;0;0;0;0;0;0;0.0;0.0;2985.914844911829;2870.0181542611467;2665.4823224844486;2715.8865160343216;2832.7048375366467;3062.4169534063394;2915.2459486066546;2905.4206195869297;2873.925336473839;2800.7823638755667;2862.7797897177725;117.85909773368262
28;4;1;2000;[10];[[1,2],[1]];0.83;0.8282;0.8385;0.8319;0.8344;0.8296;0.8399;0.8331;0.8293;0.8348;0.8329699999999999;0.0039659803327802765;0.13159249960798655;0.1320084647560144;0.13120082852474113;0.11970485194137773;0.12542231350119784;0.1282425492318372;0.12797262170024626;0.13149014315815025;0.12159472869054203;0.13077293248958458;0.1280001933601678;0.004417521038246882;2943.772335025824;2822.0052617916513;2624.904668766368;2681.164071773397;2815.901361568982;2995.2793935026716;2763.764545527359;2775.523455617519;2797.249656273025;2743.526814278381;2796.309156412518;110.19913024820514
29;4;0;8000;[40,30,20];[[1],[1],[1],[1]];0.8731;0.8788;0.8768;0.8788;0.8797;0.8806;0.8762;0.876;0.8778;0.8738;0.8771599999999999;0.0024550175378418764;0;0;0;0;0;0;0;0;0;0;0.0;0.0;1941.520065504747;1900.6486151442464;1878.544098530362;1887.591615896604;1863.4037858195425;1853.6295204121564;1889.4838592003332;1890.7211275037712;1881.1985195696548;1902.541383667979;1888.9282591249398;23.94199250039327
30;4;1;8000;[40,30,20];[[1,2,3,4],[1,2,3],[1,2],[1]];0.8722;0.874;0.875;0.8787;0.8793;0.8802;0.8752;0.8742;0.8797;0.8755;0.8764000000000001;0.0028181948517131115;0.40283286937761603;0.4076287687438877;0.3904850551302384;0.3888030393437788;0.39774408147414586;0.3915819448733364;0.39327599455022016;0.3819246669372464;0.3953669535982161;0.3896329823863225;0.3939276356415008;0.00738027539789204;1992.5970325256603;1956.3625941208309;1983.527998133967;1922.7631312781157;1933.5251398046682;1892.9257131497727;1957.1683373679891;1960.5103534992083;1924.9136429976152;1963.1383282356212;1948.7432271113448;30.180673516786776
31;4;0;20000;[100,100,100];[[1],[1],[1],[1]];0.8896;0.888;0.8876;0.8842;0.888;0.8875;0.8845;0.8833;0.8916;0.8836;0.8867899999999999;0.0027774688717127414;0;0;0;0;0;0;0;0;0;0;0.0;0.0;1783.9098030269079;1754.9094274953407;1789.6381921205991;1867.3411849976194;1786.3497839285492;1746.8838111643672;1799.9098602736644;1786.891100375501;1734.7509847919553;1844.021779433057;1789.460592760756;41.093829919568094
32;4;1;20000;[100,100,100];[[1,2,3,4],[1,2,3],[1,2],[1]];0.8867;0.8826;0.8866;0.887;0.8894;0.8902;0.8834;0.8851;0.8881;0.886;0.88651;0.0024034465992727014;0.6200763382758959;0.6270286824672605;0.6348641122239893;0.6490221793024584;0.6401630932296936;0.6495959378262982;0.6360064172897693;0.6281204032129397;0.620312740827237;0.6421264251487739;0.6347316329804316;0.010732709762526204;1871.1175859466146;1927.6139660905267;1909.2327844276624;1869.057536047998;1824.9064069173191;1799.713467307232;1868.072659084371;1820.708272255407;1807.689252254903;1938.4398339392017;1863.6551764271237;49.92417347435351
33;4;0;4000;[20,20,20,20,20,20,20,20,20];[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]];0.8611;0.8624;0.8639;0.8621;0.8652;0.8664;0.869;0.866;0.8681;0.8647;0.8648900000000002;0.002585622641540023;0;0;0;0;0;0;0;0;0;0;0.0;0.0;2108.972414831288;2079.3073858734174;2038.6440927673225;2086.6473914024236;2047.4801743581502;2002.5885219667632;1975.2399491284355;2030.4284843280418;2014.8982522943252;2084.488027862323;2046.8694694812493;42.633474394556146
34;4;1;4000;[20,20,20,20,20,20,20,20,20];[[1], [1, 2, 4, 8], [1, 2, 4, 8], [1, 2, 4], [1, 2, 4], [1, 2, 4], [1, 2, 4], [1, 2], [1, 2], [1]];0.8639;0.8655;0.8639;0.8638;0.8675;0.8628;0.8711;0.8643;0.868;0.8632;0.8654;0.0026570660511172875;1.135070186615245;1.081016805170885;1.1345464707066428;1.0986331815263257;1.101550018702849;1.142199788688069;1.1264137274431232;1.1279085178382078;1.1094756534060295;1.097082010005111;1.1153896360102489;0.020481143909669083;2094.1178136680182;2069.936040387405;2068.4245993672635;2074.2543724604507;2064.9891113977746;2083.1416319129953;1986.9611980485452;2100.207441576032;2046.0700976629437;2106.705082269574;2069.4807388751005;34.197474270421075
35;4;0;4000;[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20];[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]];0.86;0.8641;0.8684;0.8475;0.8546;0.8579;0.8569;0.8613;0.859;0.8604;0.8590099999999999;0.005576229311401486;0;0;0;0;0;0;0;0;0;0;0.0;0.0;2183.485835518868;2108.9110693386106;2054.2015957303083;2334.511166217477;2271.5128054726383;2210.2458650194503;2183.021407555596;2154.853567345337;2161.8199680014795;2105.7476608758275;2176.831094107559;81.94788845017241
36;4;1;4000;[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20];[[1,10], [1, 4, 16], [1, 4, 16], [1, 4, 16], [1, 4, 16], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1, 4], [1], [1], [1]];0.867;0.8631;0.8685;0.8667;0.8619;0.866;0.8694;0.8638;0.861;0.8618;0.86492;0.0029876784000662164;1.2222735270054768;1.2264133247273166;1.1533273976987024;1.1826506517631676;1.2030562340792557;1.1312751129595686;1.1970844484094632;1.1968156593085426;1.2065511417911365;1.1582935358614188;1.187774103360405;0.03111237280444631;2075.1559995989073;2132.9385301403518;2071.35463549861;2083.3621293669116;2124.043750229274;2047.4764155242613;2072.906056233348;2072.2015235060026;2162.0477584650407;2172.2899223392924;2101.3776720901997;43.076147181884814
